,ID,Woker avaibale,Medical condtion,Efficiency on the line,Difficulty of the geometry,production priority,due date in days,UTE allocation,worker preference,final allocation
110,100111.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.38668177844242047,0.0
111,100112.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.708496290290354,0.0
112,100113.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5977736849342205,0.0
113,100114.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9041350891344789,0.0
114,100115.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.49087734004356587,0.0
115,100116.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.1111764318169628,0.0
116,100117.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8104555807438424,0.0
117,100118.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7406533759414722,0.0
118,100119.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
119,100120.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.907094962856972,0.0
120,100121.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.827099680097951,0.0
121,100122.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
122,100123.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3635961409669517,1.0
123,100124.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.24138906392957526,0.0
124,100125.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3345000087667086,0.0
125,100126.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.17902230564668808,0.0
126,100127.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9755371115042221,0.0
127,100128.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.021878344278684736,0.0
128,100129.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7391742152701298,0.0
129,100130.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4014218070920462,1.0
130,100131.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6220177649088515,0.0
131,100132.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.38136292092641366,0.0
132,100133.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.887124216496728,0.0
133,100134.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6890356601969643,0.0
134,100135.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5696091259797543,1.0
135,100136.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.11378875419605972,0.0
136,100137.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
137,100138.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6320738683210297,0.0
138,100139.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7041292974918673,0.0
139,100140.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6777121201604628,0.0
140,100141.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5977917573393642,0.0
141,100142.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7202654539578301,0.0
142,100143.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3392387857067076,0.0
143,100144.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.30964407527484283,0.0
144,100145.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2961719210197846,0.0
145,100146.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
146,100147.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
147,100148.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.008807303168161362,0.0
148,100149.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3539072648488615,0.0
149,100150.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.28026630597763424,0.0
150,100151.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.11672788467739192,0.0
151,100152.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7954911266869342,0.0
152,100153.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.06869588208716804,0.0
153,100154.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3798539124412428,0.0
154,100155.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08758712176484584,0.0
155,100156.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
156,100157.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7766043899613335,0.0
157,100158.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.08306651143919508,0.0
158,100159.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.24596911745228955,0.0
